code_uic;Partitionner;nombre_de_voyageurs_montant;nb_voy
87001479;"1-Apprentissage";"entre  5000 et 15000";"4"
87111278;"2-Test";"entre  5000 et 15000";"4"
87113001;"1-Apprentissage";"plus de 15000";"5"
87113209;"1-Apprentissage";"entre  5000 et 15000";"4"
87113217;"1-Apprentissage";"plus de 15000";"5"
87113407;"1-Apprentissage";"plus de 15000";"5"
87113472;"1-Apprentissage";"entre  5000 et 15000";"4"
87113514;"2-Test";"entre  5000 et 15000";"4"
87113522;"1-Apprentissage";"entre  5000 et 15000";"4"
87113696;"2-Test";"entre  5000 et 15000";"4"
87113704;"2-Test";"entre  5000 et 15000";"4"
87113712;"1-Apprentissage";"plus de 15000";"5"
87113746;"2-Test";"entre  5000 et 15000";"4"
87113779;"1-Apprentissage";"entre  1000 et 5000";"3"
87113795;"1-Apprentissage";"entre  5000 et 15000";"4"
87113803;"2-Test";"entre  1000 et 5000";"3"
87113845;"1-Apprentissage";"entre  1000 et 5000";"3"
87113852;"2-Test";"entre  1000 et 5000";"3"
87113860;"1-Apprentissage";"entre  1000 et 5000";"3"
87113878;"1-Apprentissage";"entre  300 et 1000";"2"
87113886;"2-Test";"entre  1000 et 5000";"3"
87113894;"2-Test";"entre  1000 et 5000";"3"
87115873;"2-Test";"moins de 300";"1"
87116012;"1-Apprentissage";"entre  1000 et 5000";"3"
87116020;"2-Test";"entre  1000 et 5000";"3"
87116038;"1-Apprentissage";"entre  5000 et 15000";"4"
87116046;"1-Apprentissage";"entre  5000 et 15000";"4"
87116079;"2-Test";"entre  300 et 1000";"2"
87116087;"1-Apprentissage";"entre  300 et 1000";"2"
87116095;"2-Test";"entre  1000 et 5000";"3"
87116103;"1-Apprentissage";"entre  5000 et 15000";"4"
87116111;"1-Apprentissage";"plus de 15000";"5"
87116137;"1-Apprentissage";"entre  1000 et 5000";"3"
87116160;"1-Apprentissage";"entre  300 et 1000";"2"
87116178;"1-Apprentissage";"moins de 300";"1"
87116210;"1-Apprentissage";"entre  1000 et 5000";"3"
87116228;"1-Apprentissage";"entre  300 et 1000";"2"
87116244;"1-Apprentissage";"moins de 300";"1"
87116269;"1-Apprentissage";"moins de 300";"1"
87116277;"1-Apprentissage";"entre  300 et 1000";"2"
87116285;"1-Apprentissage";"moins de 300";"1"
87116293;"1-Apprentissage";"entre  1000 et 5000";"3"
87116301;"1-Apprentissage";"entre  1000 et 5000";"3"
87116319;"1-Apprentissage";"entre  5000 et 15000";"4"
87116327;"1-Apprentissage";"entre  1000 et 5000";"3"
87116400;"2-Test";"moins de 300";"1"
87116491;"1-Apprentissage";"entre  1000 et 5000";"3"
87116509;"2-Test";"entre  300 et 1000";"2"
87116517;"1-Apprentissage";"entre  1000 et 5000";"3"
87116558;"2-Test";"entre  1000 et 5000";"3"
87116616;"2-Test";"moins de 300";"1"
87116632;"1-Apprentissage";"entre  300 et 1000";"2"
87116640;"2-Test";"moins de 300";"1"
87116731;"1-Apprentissage";"moins de 300";"1"
87116749;"1-Apprentissage";"moins de 300";"1"
87116772;"2-Test";"entre  300 et 1000";"2"
87164780;"1-Apprentissage";"entre  5000 et 15000";"4"
87164798;"1-Apprentissage";"plus de 15000";"5"
87271015;"2-Test";"plus de 15000";"5"
87271031;"2-Test";"plus de 15000";"5"
87271122;"1-Apprentissage";"plus de 15000";"5"
87271148;"1-Apprentissage";"entre  1000 et 5000";"3"
87271163;"1-Apprentissage";"entre  5000 et 15000";"4"
87271171;"1-Apprentissage";"entre  1000 et 5000";"3"
87271205;"2-Test";"entre  1000 et 5000";"3"
87271247;"1-Apprentissage";"entre  5000 et 15000";"4"
87271304;"1-Apprentissage";"entre  5000 et 15000";"4"
87271395;"1-Apprentissage";"plus de 15000";"5"
87271403;"1-Apprentissage";"entre  5000 et 15000";"4"
87271411;"1-Apprentissage";"plus de 15000";"5"
87271429;"1-Apprentissage";"entre  5000 et 15000";"4"
87271437;"1-Apprentissage";"entre  5000 et 15000";"4"
87271445;"1-Apprentissage";"entre  5000 et 15000";"4"
87271452;"1-Apprentissage";"entre  1000 et 5000";"3"
87271460;"1-Apprentissage";"entre  5000 et 15000";"4"
87271478;"1-Apprentissage";"entre  1000 et 5000";"3"
87271486;"2-Test";"entre  1000 et 5000";"3"
87271510;"1-Apprentissage";"entre  5000 et 15000";"4"
87271528;"1-Apprentissage";"entre  1000 et 5000";"3"
87271536;"1-Apprentissage";"entre  1000 et 5000";"3"
87272021;"1-Apprentissage";"moins de 300";"1"
87272039;"2-Test";"moins de 300";"1"
87272047;"2-Test";"moins de 300";"1"
87272054;"1-Apprentissage";"moins de 300";"1"
87272146;"1-Apprentissage";"entre  1000 et 5000";"3"
87276022;"1-Apprentissage";"entre  5000 et 15000";"4"
87276030;"1-Apprentissage";"entre  1000 et 5000";"3"
87276055;"2-Test";"plus de 15000";"5"
87276063;"1-Apprentissage";"entre  5000 et 15000";"4"
87276071;"1-Apprentissage";"entre  5000 et 15000";"4"
87276089;"2-Test";"entre  5000 et 15000";"4"
87276097;"1-Apprentissage";"entre  1000 et 5000";"3"
87276105;"1-Apprentissage";"entre  1000 et 5000";"3"
87276139;"2-Test";"entre  5000 et 15000";"4"
87276147;"1-Apprentissage";"moins de 300";"1"
87276154;"1-Apprentissage";"entre  300 et 1000";"2"
87276162;"1-Apprentissage";"moins de 300";"1"
87276170;"1-Apprentissage";"entre  5000 et 15000";"4"
87276188;"2-Test";"entre  1000 et 5000";"3"
87276196;"1-Apprentissage";"plus de 15000";"5"
87276220;"1-Apprentissage";"plus de 15000";"5"
87276238;"2-Test";"entre  1000 et 5000";"3"
87276246;"1-Apprentissage";"entre  5000 et 15000";"4"
87276253;"1-Apprentissage";"entre  1000 et 5000";"3"
87276261;"1-Apprentissage";"entre  1000 et 5000";"3"
87276345;"1-Apprentissage";"entre  5000 et 15000";"4"
87276360;"1-Apprentissage";"entre  1000 et 5000";"3"
87276386;"1-Apprentissage";"entre  5000 et 15000";"4"
87276394;"1-Apprentissage";"entre  1000 et 5000";"3"
87276436;"2-Test";"entre  1000 et 5000";"3"
87276451;"1-Apprentissage";"moins de 300";"1"
87276469;"1-Apprentissage";"entre  5000 et 15000";"4"
87276485;"2-Test";"entre  1000 et 5000";"3"
87276493;"1-Apprentissage";"entre  1000 et 5000";"3"
87276501;"1-Apprentissage";"entre  300 et 1000";"2"
87276519;"1-Apprentissage";"entre  300 et 1000";"2"
87276527;"1-Apprentissage";"entre  1000 et 5000";"3"
87276535;"1-Apprentissage";"entre  1000 et 5000";"3"
87276543;"1-Apprentissage";"moins de 300";"1"
87276550;"1-Apprentissage";"moins de 300";"1"
87276568;"1-Apprentissage";"entre  300 et 1000";"2"
87276576;"1-Apprentissage";"entre  300 et 1000";"2"
87276584;"2-Test";"entre  1000 et 5000";"3"
87276592;"2-Test";"entre  1000 et 5000";"3"
87276600;"1-Apprentissage";"entre  1000 et 5000";"3"
87276626;"1-Apprentissage";"entre  300 et 1000";"2"
87276634;"1-Apprentissage";"entre  1000 et 5000";"3"
87276642;"1-Apprentissage";"entre  1000 et 5000";"3"
87276659;"1-Apprentissage";"entre  300 et 1000";"2"
87276667;"1-Apprentissage";"entre  300 et 1000";"2"
87276675;"2-Test";"entre  300 et 1000";"2"
87276758;"2-Test";"entre  300 et 1000";"2"
87281873;"1-Apprentissage";"plus de 15000";"5"
87281899;"1-Apprentissage";"plus de 15000";"5"
87328328;"1-Apprentissage";"plus de 15000";"5"
87334482;"2-Test";"entre  1000 et 5000";"3"
87337980;"1-Apprentissage";"entre  1000 et 5000";"3"
87366922;"2-Test";"entre  300 et 1000";"2"
87381012;"1-Apprentissage";"entre  5000 et 15000";"4"
87381020;"1-Apprentissage";"entre  5000 et 15000";"4"
87381038;"1-Apprentissage";"entre  1000 et 5000";"3"
87381046;"1-Apprentissage";"entre  1000 et 5000";"3"
87381079;"2-Test";"entre  5000 et 15000";"4"
87381087;"2-Test";"entre  5000 et 15000";"4"
87381095;"1-Apprentissage";"entre  5000 et 15000";"4"
87381111;"1-Apprentissage";"entre  1000 et 5000";"3"
87381129;"2-Test";"plus de 15000";"5"
87381137;"1-Apprentissage";"plus de 15000";"5"
87381145;"2-Test";"entre  300 et 1000";"2"
87381152;"1-Apprentissage";"entre  300 et 1000";"2"
87381160;"1-Apprentissage";"moins de 300";"1"
87381178;"2-Test";"moins de 300";"1"
87381186;"1-Apprentissage";"moins de 300";"1"
87381194;"1-Apprentissage";"entre  300 et 1000";"2"
87381418;"1-Apprentissage";"entre  300 et 1000";"2"
87381426;"1-Apprentissage";"entre  300 et 1000";"2"
87381459;"1-Apprentissage";"entre  5000 et 15000";"4"
87381475;"1-Apprentissage";"entre  1000 et 5000";"3"
87381483;"1-Apprentissage";"entre  300 et 1000";"2"
87381491;"1-Apprentissage";"entre  300 et 1000";"2"
87381509;"1-Apprentissage";"entre  5000 et 15000";"4"
87381558;"1-Apprentissage";"entre  300 et 1000";"2"
87381566;"2-Test";"entre  300 et 1000";"2"
87381574;"1-Apprentissage";"entre  300 et 1000";"2"
87381582;"1-Apprentissage";"entre  300 et 1000";"2"
87381590;"1-Apprentissage";"entre  1000 et 5000";"3"
87381624;"1-Apprentissage";"entre  300 et 1000";"2"
87381657;"1-Apprentissage";"entre  5000 et 15000";"4"
87381715;"1-Apprentissage";"moins de 300";"1"
87381723;"1-Apprentissage";"entre  300 et 1000";"2"
87381731;"1-Apprentissage";"moins de 300";"1"
87381798;"1-Apprentissage";"entre  5000 et 15000";"4"
87381806;"2-Test";"entre  300 et 1000";"2"
87381814;"1-Apprentissage";"entre  300 et 1000";"2"
87381822;"1-Apprentissage";"entre  300 et 1000";"2"
87381830;"2-Test";"entre  300 et 1000";"2"
87381848;"2-Test";"plus de 15000";"5"
87381863;"2-Test";"entre  5000 et 15000";"4"
87381871;"2-Test";"entre  1000 et 5000";"3"
87381889;"2-Test";"entre  1000 et 5000";"3"
87381897;"1-Apprentissage";"entre  5000 et 15000";"4"
87381905;"2-Test";"plus de 15000";"5"
87382002;"2-Test";"plus de 15000";"5"
87382200;"1-Apprentissage";"entre  5000 et 15000";"4"
87382218;"1-Apprentissage";"plus de 15000";"5"
87382259;"1-Apprentissage";"entre  1000 et 5000";"3"
87382267;"1-Apprentissage";"entre  1000 et 5000";"3"
87382333;"1-Apprentissage";"entre  1000 et 5000";"3"
87382341;"1-Apprentissage";"entre  1000 et 5000";"3"
87382358;"1-Apprentissage";"plus de 15000";"5"
87382366;"1-Apprentissage";"entre  1000 et 5000";"3"
87382374;"1-Apprentissage";"entre  1000 et 5000";"3"
87382382;"2-Test";"entre  1000 et 5000";"3"
87382432;"1-Apprentissage";"entre  1000 et 5000";"3"
87382440;"1-Apprentissage";"entre  1000 et 5000";"3"
87382457;"1-Apprentissage";"entre  1000 et 5000";"3"
87382465;"1-Apprentissage";"entre  1000 et 5000";"3"
87382473;"1-Apprentissage";"entre  300 et 1000";"2"
87382481;"1-Apprentissage";"entre  1000 et 5000";"3"
87382499;"1-Apprentissage";"entre  5000 et 15000";"4"
87382655;"1-Apprentissage";"entre  5000 et 15000";"4"
87382804;"1-Apprentissage";"moins de 300";"1"
87382812;"1-Apprentissage";"moins de 300";"1"
87382861;"1-Apprentissage";"entre  5000 et 15000";"4"
87382879;"1-Apprentissage";"entre  1000 et 5000";"3"
87382887;"1-Apprentissage";"entre  1000 et 5000";"3"
87383281;"1-Apprentissage";"entre  300 et 1000";"2"
87384008;"1-Apprentissage";"plus de 15000";"5"
87386003;"1-Apprentissage";"entre  5000 et 15000";"4"
87386052;"1-Apprentissage";"entre  300 et 1000";"2"
87386300;"2-Test";"entre  5000 et 15000";"4"
87386318;"1-Apprentissage";"entre  5000 et 15000";"4"
87386409;"1-Apprentissage";"plus de 15000";"5"
87386417;"1-Apprentissage";"plus de 15000";"5"
87386425;"1-Apprentissage";"entre  5000 et 15000";"4"
87386573;"2-Test";"plus de 15000";"5"
87386649;"1-Apprentissage";"entre  1000 et 5000";"3"
87386656;"2-Test";"entre  1000 et 5000";"3"
87386664;"2-Test";"entre  300 et 1000";"2"
87386680;"1-Apprentissage";"entre  5000 et 15000";"4"
87386730;"1-Apprentissage";"entre  1000 et 5000";"3"
87386763;"1-Apprentissage";"entre  1000 et 5000";"3"
87391003;"1-Apprentissage";"plus de 15000";"5"
87391532;"1-Apprentissage";"entre  1000 et 5000";"3"
87391565;"2-Test";"entre  1000 et 5000";"3"
87393009;"2-Test";"plus de 15000";"5"
87393033;"2-Test";"plus de 15000";"5"
87393041;"2-Test";"entre  5000 et 15000";"4"
87393058;"1-Apprentissage";"entre  5000 et 15000";"4"
87393066;"2-Test";"entre  5000 et 15000";"4"
87393074;"1-Apprentissage";"entre  1000 et 5000";"3"
87393082;"1-Apprentissage";"entre  1000 et 5000";"3"
87393108;"1-Apprentissage";"entre  1000 et 5000";"3"
87393116;"1-Apprentissage";"entre  1000 et 5000";"3"
87393124;"1-Apprentissage";"entre  1000 et 5000";"3"
87393157;"1-Apprentissage";"entre  5000 et 15000";"4"
87393165;"1-Apprentissage";"entre  1000 et 5000";"3"
87393173;"2-Test";"entre  1000 et 5000";"3"
87393207;"1-Apprentissage";"entre  1000 et 5000";"3"
87393215;"2-Test";"entre  5000 et 15000";"4"
87393223;"1-Apprentissage";"entre  5000 et 15000";"4"
87393256;"1-Apprentissage";"entre  5000 et 15000";"4"
87393272;"1-Apprentissage";"entre  1000 et 5000";"3"
87393280;"1-Apprentissage";"entre  1000 et 5000";"3"
87393298;"1-Apprentissage";"entre  1000 et 5000";"3"
87393306;"2-Test";"entre  5000 et 15000";"4"
87393314;"1-Apprentissage";"entre  5000 et 15000";"4"
87393322;"1-Apprentissage";"entre  5000 et 15000";"4"
87393348;"2-Test";"entre  300 et 1000";"2"
87393363;"1-Apprentissage";"moins de 300";"1"
87393405;"1-Apprentissage";"entre  1000 et 5000";"3"
87393413;"1-Apprentissage";"entre  1000 et 5000";"3"
87393421;"1-Apprentissage";"entre  5000 et 15000";"4"
87393439;"1-Apprentissage";"entre  300 et 1000";"2"
87393447;"1-Apprentissage";"entre  300 et 1000";"2"
87393454;"1-Apprentissage";"moins de 300";"1"
87393462;"1-Apprentissage";"entre  1000 et 5000";"3"
87393504;"1-Apprentissage";"moins de 300";"1"
87393512;"1-Apprentissage";"entre  1000 et 5000";"3"
87393538;"2-Test";"moins de 300";"1"
87393546;"1-Apprentissage";"entre  300 et 1000";"2"
87393561;"1-Apprentissage";"entre  1000 et 5000";"3"
87393579;"2-Test";"entre  5000 et 15000";"4"
87393611;"1-Apprentissage";"entre  1000 et 5000";"3"
87393629;"1-Apprentissage";"entre  1000 et 5000";"3"
87393637;"1-Apprentissage";"entre  1000 et 5000";"3"
87393645;"2-Test";"entre  300 et 1000";"2"
87393652;"1-Apprentissage";"entre  300 et 1000";"2"
87393835;"1-Apprentissage";"entre  5000 et 15000";"4"
87393843;"2-Test";"plus de 15000";"5"
87393876;"2-Test";"entre  300 et 1000";"2"
87393884;"1-Apprentissage";"entre  300 et 1000";"2"
87393892;"2-Test";"entre  1000 et 5000";"3"
87415885;"1-Apprentissage";"entre  300 et 1000";"2"
87415893;"2-Test";"entre  1000 et 5000";"3"
87431791;"1-Apprentissage";"entre  1000 et 5000";"3"
87492108;"1-Apprentissage";"entre  1000 et 5000";"3"
87540179;"2-Test";"entre  300 et 1000";"2"
87543090;"1-Apprentissage";"moins de 300";"1"
87543181;"1-Apprentissage";"entre  5000 et 15000";"4"
87543207;"2-Test";"entre  1000 et 5000";"3"
87545111;"2-Test";"moins de 300";"1"
87545129;"2-Test";"moins de 300";"1"
87545137;"2-Test";"entre  1000 et 5000";"3"
87545145;"1-Apprentissage";"entre  1000 et 5000";"3"
87545152;"1-Apprentissage";"entre  300 et 1000";"2"
87545160;"1-Apprentissage";"entre  300 et 1000";"2"
87545178;"2-Test";"entre  1000 et 5000";"3"
87545186;"1-Apprentissage";"entre  1000 et 5000";"3"
87545194;"1-Apprentissage";"entre  5000 et 15000";"4"
87545202;"1-Apprentissage";"entre  5000 et 15000";"4"
87545210;"1-Apprentissage";"entre  5000 et 15000";"4"
87545228;"2-Test";"entre  5000 et 15000";"4"
87545236;"2-Test";"entre  5000 et 15000";"4"
87545244;"1-Apprentissage";"plus de 15000";"5"
87545251;"1-Apprentissage";"entre  1000 et 5000";"3"
87545269;"1-Apprentissage";"entre  1000 et 5000";"3"
87545277;"1-Apprentissage";"entre  1000 et 5000";"3"
87545285;"1-Apprentissage";"plus de 15000";"5"
87545293;"2-Test";"entre  5000 et 15000";"4"
87545301;"1-Apprentissage";"entre  5000 et 15000";"4"
87545350;"1-Apprentissage";"entre  1000 et 5000";"3"
87545459;"2-Test";"entre  1000 et 5000";"3"
87545467;"1-Apprentissage";"entre  1000 et 5000";"3"
87545475;"2-Test";"entre  300 et 1000";"2"
87545483;"1-Apprentissage";"entre  1000 et 5000";"3"
87545491;"1-Apprentissage";"entre  1000 et 5000";"3"
87545509;"1-Apprentissage";"entre  300 et 1000";"2"
87545517;"1-Apprentissage";"moins de 300";"1"
87545525;"2-Test";"entre  1000 et 5000";"3"
87546192;"1-Apprentissage";"entre  1000 et 5000";"3"
87546200;"1-Apprentissage";"entre  1000 et 5000";"3"
87546226;"1-Apprentissage";"entre  1000 et 5000";"3"
87546291;"2-Test";"entre  1000 et 5000";"3"
87546317;"1-Apprentissage";"entre  300 et 1000";"2"
87547026;"1-Apprentissage";"plus de 15000";"5"
87547307;"1-Apprentissage";"entre  5000 et 15000";"4"
87547315;"1-Apprentissage";"plus de 15000";"5"
87681007;"1-Apprentissage";"entre  5000 et 15000";"4"
87681155;"1-Apprentissage";"plus de 15000";"5"
87681247;"2-Test";"entre  5000 et 15000";"4"
87681304;"1-Apprentissage";"entre  5000 et 15000";"4"
87681312;"1-Apprentissage";"entre  1000 et 5000";"3"
87681338;"1-Apprentissage";"entre  1000 et 5000";"3"
87681346;"2-Test";"entre  1000 et 5000";"3"
87681353;"1-Apprentissage";"entre  300 et 1000";"2"
87681361;"1-Apprentissage";"entre  1000 et 5000";"3"
87681379;"1-Apprentissage";"entre  5000 et 15000";"4"
87681387;"1-Apprentissage";"plus de 15000";"5"
87681395;"1-Apprentissage";"entre  1000 et 5000";"3"
87681403;"2-Test";"entre  1000 et 5000";"3"
87681411;"1-Apprentissage";"entre  1000 et 5000";"3"
87681437;"1-Apprentissage";"entre  300 et 1000";"2"
87681452;"1-Apprentissage";"entre  1000 et 5000";"3"
87681478;"1-Apprentissage";"entre  300 et 1000";"2"
87681486;"1-Apprentissage";"entre  300 et 1000";"2"
87681510;"1-Apprentissage";"moins de 300";"1"
87681601;"1-Apprentissage";"entre  300 et 1000";"2"
87681619;"1-Apprentissage";"entre  300 et 1000";"2"
87681627;"1-Apprentissage";"moins de 300";"1"
87681635;"1-Apprentissage";"moins de 300";"1"
87681809;"2-Test";"entre  1000 et 5000";"3"
87681825;"1-Apprentissage";"plus de 15000";"5"
87681858;"1-Apprentissage";"entre  300 et 1000";"2"
87682005;"1-Apprentissage";"plus de 15000";"5"
87682104;"1-Apprentissage";"entre  5000 et 15000";"4"
87682112;"1-Apprentissage";"entre  5000 et 15000";"4"
87682120;"2-Test";"entre  5000 et 15000";"4"
87682138;"1-Apprentissage";"entre  5000 et 15000";"4"
87682146;"2-Test";"entre  5000 et 15000";"4"
87682153;"1-Apprentissage";"entre  5000 et 15000";"4"
87682161;"1-Apprentissage";"entre  1000 et 5000";"3"
87682179;"2-Test";"entre  1000 et 5000";"3"
87682187;"2-Test";"entre  5000 et 15000";"4"
87682203;"1-Apprentissage";"entre  1000 et 5000";"3"
87682211;"2-Test";"entre  5000 et 15000";"4"
87682252;"1-Apprentissage";"moins de 300";"1"
87682278;"1-Apprentissage";"entre  1000 et 5000";"3"
87682294;"2-Test";"entre  300 et 1000";"2"
87682302;"1-Apprentissage";"entre  1000 et 5000";"3"
87682401;"1-Apprentissage";"moins de 300";"1"
87682419;"2-Test";"moins de 300";"1"
87682427;"2-Test";"moins de 300";"1"
87682435;"2-Test";"moins de 300";"1"
87682443;"2-Test";"moins de 300";"1"
87682450;"2-Test";"entre  300 et 1000";"2"
87682468;"2-Test";"moins de 300";"1"
87682476;"2-Test";"moins de 300";"1"
87682500;"1-Apprentissage";"moins de 300";"1"
87682518;"1-Apprentissage";"moins de 300";"1"
87682526;"1-Apprentissage";"entre  300 et 1000";"2"
87682542;"1-Apprentissage";"moins de 300";"1"
87684100;"1-Apprentissage";"moins de 300";"1"
87684118;"2-Test";"moins de 300";"1"
87684126;"1-Apprentissage";"entre  1000 et 5000";"3"
87684191;"1-Apprentissage";"moins de 300";"1"
87684217;"2-Test";"entre  300 et 1000";"2"
87684407;"1-Apprentissage";"moins de 300";"1"
87686030;"1-Apprentissage";"plus de 15000";"5"
87988709;"1-Apprentissage";"entre  1000 et 5000";"3"
87988717;"1-Apprentissage";"entre  1000 et 5000";"3"
