code_uic;gare;guichet_adapte_pmr;boucle_magnetique;portes_automatiques_acces;bandes_eveil_vigilance;automates_transilien_accessibles;cab_passage_elargi_controle;ascenceurs;escaliers_mecaniques
87271460;AEROPORT CHARLES DE GAULLE  1 - Roissy;1;1;1;1;1;2;2;6
87070902;AEROPORT D'ORLY OUEST;;;;;;;;
87381491;ANDRESY;0;1;0;0;0;Pas de CAB;0;
87545251;ATHIS MONS;0;1;0;0;0;Pas de CAB;0;
87758599;AUBER;;;;;;;;
87276543;AUVERS SUR OISE;1;1;0;0;0;Pas de CAB;0;
87543207;AVENUE DU PRESIDENT KENNEDY - Maison de Radio France;0;1;0;1;1;;2;2
87381038;AVENUE FOCH;0;1;0;1;1;;1;1
87684191;BAGNEAUX SUR LOING;0;0;0;1;0;Pas de CAB;0;
87758680;BAGNEUX;;;;;;;;
87276550;BELLOY SAINT-MARTIN;;0;0;0;0;Pas de CAB;0;
87328328;BIBLIOTHEQUE FRANCOIS MITTERRAND;1;1;1;1;1;3;3;9
87393546;BIEVRES;0;1;0;0;0;Pas de CAB;0;
87682518;BOISSISE LE ROI;0;0;0;0;0;Pas de CAB;0;
87545491;BREUILLET VILLAGE;0;1;0;0;0;Pas de CAB;0;
87276451;BRUYERES SUR OISE;0;0;0;0;0;Pas de CAB;0;
87116343;CHAILLY BOISSY LECHATEL;;;;;;;;
87545756;CHATEAUDUN;;;;;;;;
87682146;COMBS LA VILLE QUINCY;1;1;1;1;1;1;0;
87116731;COUILLY SAINT-GERMAIN QUINCY;0;1;0;0;0;Pas de CAB;0;
87382200;COURBEVOIE;0;1;0;0;1;Pas de CAB;0;
87116772;CRECY LA CHAPELLE;0;1;0;0;0;Pas de CAB;0;
87545525;DOURDAN;0;1;0;0;1;Pas de CAB;0;
87393488;DREUX;;;;;;;;
87276394;ECOUEN EZANVILLE;0;1;1;0;1;1;0;
87116327;ESBLY;1;1;1;0;1;Pas de CAB;0;
87681601;ESSONNES ROBINSON;0;0;0;0;0;Pas de CAB;0;
87681387;EVRY COURCOURONNES - Centre;1;1;1;1;1;2;5;8
87113514;GAGNY;1;1;1;1;1;1;2;1
87271023;GARE DU NORD;;;;;;;;
87758656;GENTILLY;;;;;;;;
87545129;GUILLERVAL;0;0;0;0;0;Pas de CAB;0;
87393306;ISSY VAL DE SEINE;1;0;0;0;1;1;2;2
87545301;IVRY SUR SEINE;1;1;1;0;1;1;0;
87430918;JOUY SUR MORIN CHAMPGOULIN;;;;;;;;
87545244;JUVISY;1;1;1;1;1;2;9;1
87116673;LA FERTE MILON;;;;;;;;
87116517;LA FERTE SOUS JOUARRE;0;1;0;1;1;Pas de CAB;0;
87758862;LA HACQUINIERE;;;;;;;;
87164798;LA PLAINE STADE DE FRANCE - Saint-Denis Aubervilliers;1;1;0;1;1;2;2;2
87758185;LA VARENNE CHENNEVIERES;;;;;;;;
87393256;LA VERRIERE;;1;1;0;1;1;0;
87381202;LA VILLETERTRE;;;;;;;;
87113472;LE RAINCY VILLEMOMBLE MONTFERMEIL;1;1;1;1;1;Pas de CAB;0;1
87681247;LE VERT DE MAISONS;1;1;1;1;1;Pas de CAB;0;
87386664;LES CLAIRIERES DE VERNEUIL;1;1;0;0;0;Pas de CAB;0;1
87272146;LES GRESILLONS;0;0;1;0;0;1;0;1
87276238;LES NOUES;;1;0;0;0;Pas de CAB;0;
87386300;LES VALLEES;0;1;1;0;0;Pas de CAB;0;
87382473;L'ETANG LA VILLE;0;0;0;0;0;Pas de CAB;0;
87381210;LIANCOURT SAINT PIERRE;;;;;;;;
87682401;LIVRY SUR SEINE;0;0;0;0;0;Pas de CAB;0;
87758367;LOGNES;;;;;;;;
87116137;LONGUEVILLE;0;0;0;0;0;Pas de CAB;0;
87276253;LOUVRES;1;1;1;;1;1;0;
87758615;LUXEMBOURG;;;;;;;;
87381509;MANTES LA JOLIE;1;1;1;0;1;Pas de CAB;5;5
87383281;MASSY VERRIERES;0;0;0;0;1;Pas de CAB;0;
87681411;MENNECY;0;1;0;0;0;Pas de CAB;0;
87381830;MEULAN HARDRICOURT;0;1;0;0;0;Pas de CAB;0;
87271528;MITRY CLAYE;1;1;1;1;1;1;3;
87332932;MONDESIR;;;;;;;;
87684001;MONTARGIS;;;;;;;;
87682104;MONTGERON CROSNE;1;1;1;1;1;Pas de CAB;0;
87276493;MONTSOULT MAFFLIERS;1;1;1;0;1;1;0;
87681346;ORANGIS BOIS DE L'EPINE;1;1;1;1;1;2;0;
87391003;PARIS MONTPARNASSE (GARE MONTPARNASSE);0;1;1;0;1;Pas de CAB;3;
87384008;PARIS SAINT-LAZARE (GARE SAINT-LAZARE);0;1;0;0;1;Pas de CAB;0;
87393165;PORCHEFONTAINE;1;1;0;0;0;1;0;
87116038;ROISSY EN BRIE;1;1;1;1;1;1;2;1
87415885;ROSNY SUR SEINE;0;1;0;0;0;Pas de CAB;0;
87332957;ROUTE DE MONNERVILLE;;;;;;;;
87758052;RUEIL MALMAISON;;;;;;;;
87545210;SAINTE-GENEVIEVE DES BOIS;0;1;0;0;1;Pas de CAB;0;
87682542;SAINT-FARGEAU;0;0;0;0;0;Pas de CAB;0;
87276402;SAINT-LEU D'ESSERENT;;;;;;;;
87276600;SAINT-LEU LA FORET;;;0;0;1;Pas de CAB;0;
87393843;SAINT-QUENTIN EN YVELINES;0;1;1;0;0;1;0;6
87116368;SAINT-SIMEON;;;;;;;;
87332973;SALLE DES FETES (ANGERVILLE);;;;;;;;
87758706;SCEAUX;;;;;;;;
87276261;SURVILLIERS FOSSES;1;1;1;1;1;1;0;
87381822;THUN LE PARADIS;0;1;0;0;0;Pas de CAB;0;
87381178;US;0;1;0;0;0;Pas de CAB;0;
87730069;VAL D'EUROPE;;;;;;;;
87393538;VAUBOYEN;0;1;0;0;0;Pas de CAB;0;
87682468;VERNOU SUR SEINE;0;0;0;0;0;Pas de CAB;0;
87116749;VILLIERS MONTBARBIN;0;0;0;0;0;Pas de CAB;0;
87758110;VINCENNES;;;;;;;;
87393215;VIROFLAY RIVE GAUCHE;1;1;1;0;1;1;0;3
87381848;ARGENTEUIL;1;1;1;1;1;3;4;0
87381137;ASNIERES SUR SEINE;1;1;1;0;1;Pas de CAB;5;3
87681437;BALLANCOURT;;0;0;0;0;Pas de CAB;0;
87113407;BONDY;0;1;1;1;1;2;4;
87382440;BOUGIVAL;0;0;0;0;0;Pas de CAB;0;
87545178;BOURAY;0;1;0;0;0;Pas de CAB;0;
87758698;BOURG LA REINE;;;;;;;;
87682138;BOUSSY SAINT-ANTOINE;1;1;1;1;1;1;0;
87381624;BREVAL;0;1;0;0;0;Pas de CAB;0;
87758326;BRY SUR MARNE;;;;;;;;
87276063;CERNAY;1;1;1;0;0;2;0;
87545152;CHAMARANDE;0;1;0;0;0;Pas de CAB;0;
87115873;CHAMPBENOIST POIGNY;0;0;0;0;0;Pas de CAB;0;
87758177;CHAMPIGNY;;;;;;;;
87683128;CHAMPIGNY SUR YONNE;;;;;;;;
87116582;CHATEAU THIERRY;;;;;;;;
87381087;COLOMBES;1;1;1;0;1;1;1;1
87381897;CONFLANS SAINTE-HONORINE;1;1;1;0;1;2;4;
87758888;COURCELLE SUR YVETTE;;;;;;;;
87540179;DOURDAN LA FORET;0;0;0;0;0;Pas de CAB;0;
87545475;EGLY;0;1;0;0;0;Pas de CAB;0;
87116046;EMERAINVILLE - PONTAULT COMBAULT;1;1;1;0;1;1;2;
87545228;EPINAY SUR ORGE;0;1;0;0;1;Pas de CAB;0;
87271148;EPINAY SUR SEINE;0;1;1;0;1;Pas de CAB;0;
87271122;EPINAY VILLETANEUSE;1;1;0;0;1;Pas de CAB;0;
87387001;EVREUX;;;;;;;;
87758128;FONTENAY SOUS BOIS;;;;;;;;
87393439;GARANCIERES LA QUEUE;0;1;0;0;0;Pas de CAB;0;
87382259;GARCHES MARNES LA COQUETTE;1;1;1;1;1;1;2;
87393348;GAZERAN;0;0;0;1;0;Pas de CAB;0;
87116012;GRETZ ARMAINVILLIERS;0;1;0;;1;Pas de CAB;0;
87281899;HAUSSMANN SAINT-LAZARE;1;1;1;1;1;5;7;58
87393066;JAVEL;1;1;1;0;1;1;0;
87394155;JOUY;;;;;;;;
87430884;JOUY SUR MORIN MONUMENT;;;;;;;;
87271304;LA COURNEUVE AUBERVILLIERS;1;1;0;1;1;Pas de CAB;1;
87382218;LA DEFENSE GRANDE ARCHE;1;0;0;1;1;2;2;7
87758664;LAPLACE;;;;;;;;
87271395;LE BOURGET;1;1;1;1;1;2;0;1
87681395;LE BRAS DE FER - Evry Génopole;0;0;1;1;1;1;0;4
87758839;LE GUICHET;;;;;;;;
87758078;LE VESINET CENTRE;;;;;;;;
87393280;LES ESSARTS LE ROI;0;1;0;0;0;Pas de CAB;0;
87393611;LONGJUMEAU;1;1;0;0;0;Pas de CAB;0;
87758821;LOZERE;;;;;;;;
87393470;MARCHEZAIS BROUE;;;;;;;;
87382465;MARLY LE ROI;0;1;0;0;1;Pas de CAB;0;
87754994;MARNE LA VALLEE CHESSY;;;;;;;;
87116103;MEAUX;0;1;0;1;1;Pas de CAB;0;
87682005;MELUN;1;1;1;1;1;1;0;0
87381616;MENERVILLE;;;;;;;;
87276667;MERY SUR OISE;;1;0;0;0;Pas de CAB;0;
87332940;MONNERVILLE CENTRE;;;;;;;;
87684100;MONTIGNY SUR LOING;0;1;0;1;0;Pas de CAB;0;
87682278;MORET VENEUX LES SABLONS;1;1;0;0;1;Pas de CAB;0;
87116087;MORMANT;0;0;0;0;0;Pas de CAB;0;
87758037;NANTERRE UNIVERSITE;;;;;;;;
87758102;NATION;;;;;;;;
87758318;NEUILLY PLAISANCE;;;;;;;;
87334482;NEUVILLE UNIVERSITE;1;1;1;1;1;2;2;2
87381731;NEZEL AULNAY;;0;0;0;0;Pas de CAB;0;
87113746;NOGENT LE PERREUX;1;1;1;1;1;2;2;1
87758847;ORSAY VILLE;;;;;;;;
87116020;OZOIR LA FERRIERE;1;1;1;1;1;1;2;1
87113209;PANTIN;0;1;1;1;1;Pas de CAB;0;
87271486;PARC DES EXPOSITIONS;1;1;0;1;1;Pas de CAB;3;2
87686667;PARIS BERCY (GARE DE BERCY);;;;;;;;
87113001;PARIS EST (GARE DE L'EST);1;1;1;0;1;3;0;
87271031;PARIS NORD (GARE DU NORD);;;;;;;;
87381012;PEREIRE LEVALLOIS;0;1;0;1;1;2;2;1
87276469;PERSAN BEAUMONT;1;1;1;0;1;1;0;
87393652;PETIT VAUX;0;0;0;0;0;Pas de CAB;0;
87276097;PIERRELAYE;1;1;0;1;0;2;0;
87386573;POISSY;1;1;1;1;1;2;4;
87546192;PONT DE RUNGIS Aéroport d'Orly;0;1;1;0;1;Pas de CAB;0;1
87276139;PONTOISE;0;1;1;1;1;1;5;5
87758623;PORT ROYAL;;;;;;;;
87276501;PRESLES COURCELLES;1;1;0;0;0;Pas de CAB;0;
87271015;SAINT-DENIS;1;1;0;1;1;Pas de CAB;0;
87276170;SAINT-GRATIEN;;1;0;0;1;1;0;
87682294;SAINT-MAMMES;0;1;0;0;0;Pas de CAB;0;
87758151;SAINT-MAUR CRETEIL;;;;;;;;
87545202;SAINT-MICHELSUR ORGE;1;1;1;0;0;Pas de CAB;0;
87382481;SAINT-NOM LA BRETECHE FORET DE MARLY;1;1;0;1;0;Pas de CAB;2;
87116376;SAINT-REMY LA VANNE;;;;;;;;
87276386;SARCELLES SAINT-BRICE;0;1;1;0;1;1;0;
87545236;SAVIGNY SUR ORGE;0;1;0;0;1;Pas de CAB;0;
87419952;SERANS;;;;;;;;
87271445;SEVRAN BEAUDOTTES;1;1;1;1;1;1;2;3
87382341;SEVRES VILLE D'AVRAY;0;1;0;0;1;Pas de CAB;0;
87382374;SURESNES MONT VALERIEN;1;0;1;0;1;2;2;2
87116491;TRILPORT;1;1;1;1;0;Pas de CAB;0;
87381798;VAL D'ARGENTEUIL;1;1;1;1;1;2;2;2
87382861;VERSAILLES RIVE DROITE;1;0;0;0;1;1;1;1
87393157;VERSAILLES RIVE GAUCHE - CHÂTEAU DE VERSAILLES;1;1;1;0;1;1;0;
87683102;VILLENEUVE LA GUYARD;;;;;;;;
87393413;VILLEPREUX LES CLAYES;1;1;1;0;1;1;0;
87382887;VIROFLAY RIVE DROITE;0;1;0;0;1;Pas de CAB;0;
87758755;ANTONY;;;;;;;;
87381046;AVENUE HENRI MARTIN;0;1;0;1;1;1;2;2
87393116;BELLEVUE;0;1;0;0;1;Pas de CAB;0;
87381152;BOISSY L'AILLERIE;0;0;0;0;0;Pas de CAB;0;
87545731;BONNEVAL;;;;;;;;
87415893;BONNIERES;0;1;0;0;0;Pas de CAB;0;
87276444;BORAN SUR OISE;;;;;;;;
87276485;BOUFFEMONT MOISSELLES;1;1;1;1;1;Pas de CAB;0;
87545483;BREUILLETBRUYERES LE CHATEL;0;1;0;0;0;Pas de CAB;0;
87681510;BUNO GIRONVILLE;0;0;0;0;0;Pas de CAB;0;
87682450;CHAMPAGNE SUR SEINE;0;1;0;1;0;Pas de CAB;0;
87116509;CHANGIS SAINT-JEAN;0;1;0;1;0;Pas de CAB;0;
87276113;CHANTILLY GOUVIEUX;;;;;;;;
87276162;CHAPONVAL;0;0;0;0;0;Pas de CAB;0;
87381194;CHARS;0;1;0;0;0;Pas de CAB;0;
87758607;CHATELET LES HALLES;;;;;;;;
87381228;CHAUMONT EN VEXIN;;;;;;;;
87393173;CHAVILLE VELIZY;0;1;1;;1;Pas de CAB;0;
87546317;CHEMIN D'ANTONY;0;1;0;0;0;Pas de CAB;0;
87393637;CHILLY MAZARIN;0;1;1;0;0;Pas de CAB;0;
87545285;CHOISY LE ROI;1;1;1;0;1;2;3;3
87272047;COMPANS;0;0;0;0;0;Pas de CAB;0;
87116640;CROUY SUR OURCQ;0;1;0;1;0;Pas de CAB;0;
87758631;DENFERT ROCHEREAU;;;;;;;;
87684233;DORDIVES;;;;;;;;
87276147;EPLUCHES;0;0;0;0;0;Pas de CAB;0;
87381418;ERAGNY NEUVILLE;0;1;0;0;0;Pas de CAB;0;
87545137;ETAMPES;0;1;0;0;1;1;0;
87545145;ETRECHY;0;1;0;0;0;Pas de CAB;0;
87681361;EVRY - Val de Seine;0;1;0;0;0;Pas de CAB;0;
87116277;FAREMOUTIERS POMMEUSE;0;0;0;0;0;Pas de CAB;0;
87758763;FONTAINE MICHALON;;;;;;;;
87758714;FONTENAY AUX ROSES;;;;;;;;
87393405;FONTENAY LE FLEURY;1;1;1;0;0;1;0;
87276071;FRANCONVILLE LE PLESSIS BOUCHARD;1;1;1;0;1;2;0;
87113894;FREINVILLE SEVRAN (T4);0;0;0;1;1;Pas de CAB;0;
87276659;FREPILLON;0;0;0;0;0;Pas de CAB;0;
87113860;GARGAN (T4);0;0;0;1;1;Pas de CAB;0;
87381566;GARGENVILLE;0;1;0;0;0;Pas de CAB;0;
87393645;GRAVIGNY BALIZY;0;1;0;0;1;Pas de CAB;0;
87393561;IGNY;0;1;0;0;0;Pas de CAB;0;
87393074;ISSY;1;1;1;0;1;1;0;
87381558;JUZIERS;0;1;0;1;0;Pas de CAB;0;
87545459;LA NORVILLE SAINT-GERMAIN LES ARPAJON;1;1;0;0;0;Pas de CAB;0;
87116319;LAGNY THORIGNY;1;1;1;;1;1;0;1
87271478;LE BLANC MESNIL;1;1;1;1;1;1;0;2
87113522;LE CHENAY GAGNY;1;1;1;1;1;2;3;2
87681635;LE COUDRAY MONTCEAUX;0;0;0;0;0;Pas de CAB;0;
87393298;LE PERRAY;0;0;0;0;0;Pas de CAB;0;
87681627;LE PLESSIS CHENET;0;0;0;0;0;Pas de CAB;0;
87758771;LES BACONNETS;;;;;;;;
87113779;LES BOULLEREAUX CHAMPIGNY;1;1;1;1;1;1;2;2
87276527;L'ISLE ADAM PARMAIN;0;1;0;0;0;Pas de CAB;0;
87988717;LYCEE HENRI SELLIER (T4);0;0;0;1;1;Pas de CAB;0;
87684415;MALESHERBES;;;;;;;;
87545186;MAROLLES EN HUREPOIX;1;1;0;0;0;Pas de CAB;0;
87393579;MASSY PALAISEAU;1;1;1;0;1;1;0;
87381723;MAULE;0;1;0;0;0;Pas de CAB;0;
87393082;MEUDON VAL FLEURY;0;1;0;0;1;Pas de CAB;0;2
87545111;MONNERVILLE;0;0;0;0;0;Pas de CAB;0;
87381160;MONTGEROULT COURCELLES;0;0;0;0;0;Pas de CAB;0;
87276089;MONTIGNY BEAUCHAMP;0;1;0;1;1;2;3;
87116400;MONTRY CONDE;0;0;0;0;0;Pas de CAB;0;
87116558;NANTEUIL SAACY;0;1;0;1;0;Pas de CAB;0;
